candidate_id,previous_period,period,provider,provider_name,code_a,code_b,before_a,after_a,change_a,before_b,after_b,change_b,absolute_change_ratio,paired_net_change,target_code,target_change_share_national_pct,classification,disposition,evidence_file,author_disposition,event,adjacent_total,cause,source_file,official_evidence_url,name_before,name_after
RC013,2025-06,2025-07,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_100,C_320,2862.0,1460.0,-1402.0,327.0,1255.0,928.0,0.6619115549215406,-474.0,C_100,0.3548289127353715,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC014,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_120,C_140,4590.0,2527.0,-2063.0,2023.0,4021.0,1998.0,0.9684924866698982,-65.0,C_120,0.3257694190471679,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC015,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_101,C_120,976.0,2038.0,1062.0,4590.0,2527.0,-2063.0,0.5147842947164324,-1001.0,C_120,0.3257694190471679,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC016,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_330,C_400,4771.0,3837.0,-934.0,401.0,1130.0,729.0,0.7805139186295503,-205.0,C_400,0.3107907044162975,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC017,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_340,C_400,1467.0,923.0,-544.0,401.0,1130.0,729.0,0.7462277091906722,185.0,C_400,0.3107907044162975,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC018,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_140,C_301,2023.0,4021.0,1998.0,4911.0,3756.0,-1155.0,0.5780780780780781,843.0,C_301,0.2940367813282825,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC019,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_301,C_400,4911.0,3756.0,-1155.0,401.0,1130.0,729.0,0.6311688311688312,-426.0,C_301,0.2940367813282825,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC020,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_101,C_301,976.0,2038.0,1062.0,4911.0,3756.0,-1155.0,0.9194805194805196,-93.0,C_301,0.2940367813282825,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC021,2025-01,2025-02,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_100,C_320,2021.0,3202.0,1181.0,1185.0,247.0,-938.0,0.79424216765453,243.0,C_100,0.2897164164458836,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC022,2025-11,2025-12,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,C_110,X05,7170.0,5011.0,-2159.0,0.0,2105.0,2105.0,0.9749884205650764,-54.0,C_110,0.255697833615205,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC023,2025-05,2025-06,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_120,C_301,2873.0,4408.0,1535.0,3535.0,2013.0,-1522.0,0.9915309446254073,13.0,C_120,0.2413825638445087,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC024,2024-06,2024-07,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,X06,11158.0,12118.0,960.0,1107.0,118.0,-989.0,0.9706774519716884,-29.0,C_320,0.2297398196542415,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC025,2024-05,2024-06,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,C_100,X05,564.0,1500.0,936.0,3784.0,3195.0,-589.0,0.6292735042735043,347.0,C_100,0.2208964241211343,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC026,2024-04,2024-05,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,C_100,X05,1421.0,564.0,-857.0,3323.0,3784.0,461.0,0.5379229871645275,-396.0,C_100,0.2024688441320654,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC027,2024-03,2024-04,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_320,X06,8706.0,9504.0,798.0,1298.0,580.0,-718.0,0.899749373433584,80.0,C_320,0.1945634391404099,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC028,2025-04,2025-05,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,C_301,X06,6138.0,5407.0,-731.0,1236.0,2252.0,1016.0,0.719488188976378,285.0,C_301,0.1939768979087114,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC029,2024-07,2024-08,NTX,THE ONE HEALTH GROUP PLC,C_110,C_150,2607.0,1105.0,-1502.0,0.0,1538.0,1538.0,0.976592977893368,36.0,C_110,0.1758876941849327,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC030,2024-08,2024-09,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,C_300,C_301,522.0,158.0,-364.0,913.0,1539.0,626.0,0.5814696485623003,262.0,C_301,0.1604095825507173,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC031,2024-08,2024-09,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,C_301,X02,913.0,1539.0,626.0,4568.0,4064.0,-504.0,0.805111821086262,122.0,C_301,0.1604095825507173,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC032,2024-03,2024-04,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_120,X06,8453.0,9492.0,1039.0,1298.0,580.0,-718.0,0.6910490856592878,321.0,C_120,0.1592962143001698,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC033,2024-03,2024-04,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,X06,9269.0,9859.0,590.0,1298.0,580.0,-718.0,0.8217270194986073,-128.0,C_301,0.1504457273413435,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC034,2024-01,2024-02,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,C_100,X04,4672.0,4041.0,-631.0,0.0,401.0,401.0,0.6354992076069731,-230.0,C_100,0.1495593805255199,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC035,2024-04,2024-05,NT304,SPIRE SOUTHAMPTON HOSPITAL,C_100,C_110,0.0,626.0,626.0,981.0,335.0,-646.0,0.9690402476780186,-20.0,C_100,0.1478943948969346,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC036,2025-07,2025-08,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,C_400,X05,6643.0,6956.0,313.0,508.0,252.0,-256.0,0.8178913738019169,57.0,C_400,0.1428343258721792,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC037,2025-09,2025-10,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,C_140,C_400,1320.0,984.0,-336.0,433.0,745.0,312.0,0.9285714285714286,-24.0,C_400,0.1407974006633723,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC038,2025-09,2025-10,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,C_330,C_400,894.0,709.0,-185.0,433.0,745.0,312.0,0.592948717948718,127.0,C_400,0.1407974006633723,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC039,2025-09,2025-10,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,C_400,C_502,433.0,745.0,312.0,4729.0,4516.0,-213.0,0.6826923076923077,99.0,C_400,0.1407974006633723,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC040,2024-12,2025-01,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,C_130,C_300,2293.0,3088.0,795.0,616.0,10.0,-606.0,0.7622641509433963,189.0,C_130,0.1370944934574024,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC041,2024-01,2024-02,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_400,C_502,365.0,684.0,319.0,3721.0,3320.0,-401.0,0.7955112219451371,-82.0,C_400,0.1364647501711156,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC042,2024-05,2024-06,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,C_120,X04,3589.0,2693.0,-896.0,0.0,1404.0,1404.0,0.6381766381766382,508.0,C_120,0.1360798375546939,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC043,2026-01,2026-02,RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,C_300,C_400,266.0,637.0,371.0,3121.0,2833.0,-288.0,0.7762803234501348,83.0,C_400,0.1348522945960752,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC044,2025-09,2025-10,RPA,MEDWAY NHS FOUNDATION TRUST,C_120,X06,7078.0,6252.0,-826.0,252.0,731.0,479.0,0.5799031476997578,-347.0,C_120,0.1345333841498174,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC045,2026-03,2026-04,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,C_100,X04,1148.0,646.0,-502.0,458.0,776.0,318.0,0.6334661354581673,-184.0,C_100,0.1314796966014332,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC046,2024-06,2024-07,NT304,SPIRE SOUTHAMPTON HOSPITAL,C_100,C_110,500.0,0.0,-500.0,362.0,624.0,262.0,0.524,-238.0,C_100,0.1191097262620271,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC047,2024-01,2024-02,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,C_120,X04,4570.0,3823.0,-747.0,1780.0,2711.0,931.0,0.8023630504833512,184.0,C_120,0.1189736728940704,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC048,2024-03,2024-04,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,C_120,X04,2866.0,3637.0,771.0,1360.0,0.0,-1360.0,0.5669117647058823,-589.0,C_120,0.1182072966558527,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC049,2024-10,2024-11,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,C_301,X06,9663.0,9201.0,-462.0,167.0,460.0,293.0,0.6341991341991342,-169.0,C_301,0.117614712531313,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC050,2025-06,2025-07,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,C_301,X04,4351.0,3919.0,-432.0,818.0,1526.0,708.0,0.6101694915254238,276.0,C_301,0.1152331871579014,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC051,2025-01,2025-02,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_301,X06,678.0,225.0,-453.0,1245.0,1529.0,284.0,0.6269315673289183,-169.0,C_301,0.1149162861491628,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC052,2024-12,2025-01,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,C_110,C_300,6105.0,7072.0,967.0,616.0,10.0,-606.0,0.6266804550155118,361.0,C_110,0.1140379945823107,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC053,2024-02,2024-03,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,C_110,C_300,4133.0,5055.0,922.0,833.0,26.0,-807.0,0.8752711496746204,115.0,C_110,0.1103598184928104,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC054,2026-01,2026-02,RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,C_300,C_301,266.0,637.0,371.0,5942.0,5524.0,-418.0,0.8875598086124402,-47.0,C_301,0.1103333227751206,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC055,2026-03,2026-04,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_320,C_430,8234.0,8643.0,409.0,348.0,123.0,-225.0,0.5501222493887531,184.0,C_320,0.1083848536804475,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC056,2024-01,2024-02,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,C_110,C_300,5031.0,4133.0,-898.0,23.0,833.0,810.0,0.9020044543429844,-88.0,C_110,0.1066060112494272,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC057,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_130,C_400,6918.0,6296.0,-622.0,401.0,1130.0,729.0,0.8532235939643347,107.0,C_130,0.1065716317281909,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC058,2024-10,2024-11,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,C_101,C_130,976.0,2038.0,1062.0,6918.0,6296.0,-622.0,0.5856873822975518,440.0,C_130,0.1065716317281909,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC059,2024-09,2024-10,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_110,X05,9611.0,8707.0,-904.0,774.0,1641.0,867.0,0.959070796460177,-37.0,C_110,0.1056494401982095,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC060,2026-02,2026-03,NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,C_101,C_110,729.0,0.0,-729.0,0.0,860.0,860.0,0.8476744186046512,131.0,C_110,0.1051340887502857,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC061,2026-03,2026-04,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,C_301,C_430,7347.0,7734.0,387.0,348.0,123.0,-225.0,0.5813953488372093,162.0,C_301,0.104161900429836,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC062,2025-11,2025-12,RPA,MEDWAY NHS FOUNDATION TRUST,C_120,X06,4922.0,5535.0,613.0,702.0,280.0,-422.0,0.6884176182707994,191.0,C_120,0.1039684397271379,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC063,2025-09,2025-10,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,C_400,X06,5271.0,5043.0,-228.0,349.0,544.0,195.0,0.8552631578947368,-33.0,C_400,0.1028904081770798,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC064,2026-02,2026-03,RJN,EAST CHESHIRE NHS TRUST,C_100,X04,1780.0,1397.0,-383.0,296.0,574.0,278.0,0.7258485639686684,-105.0,C_100,0.1018064667042349,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
RC065,2025-06,2025-07,NRL,HEART NETWORKS,C_170,C_320,540.0,0.0,-540.0,0.0,391.0,391.0,0.7240740740740741,-149.0,C_320,0.1006963759606073,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes,anomaly_recoding_candidates.csv,Reviewed; retain reported codes. Candidate association does not prove pathway transfer; specialty-comparability caveat added.,,,,,,,
