candidate_id,period,previous_period,provider,provider_name,event,adjacent_total,classification,cause,disposition,source_file,official_evidence_url
PE014,2024-02,2024-01,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,disappears,723,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
PE015,2024-02,2024-01,RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,disappears,4845,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
PE016,2024-02,2024-01,RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,disappears,53,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
PE017,2024-02,2024-01,RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,disappears,434,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
PE018,2024-02,2024-01,RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,disappears,350,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
PE019,2024-02,2024-01,RYV,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,disappears,2977,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202401-RTT-January2024-incomplete-pathways.csv,
PE020,2024-02,2024-01,Z5J5V,SPAMEDICA HAYDOCK,appears,11,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202402-RTT-February2024-incomplete-pathways.csv,
PE021,2024-03,2024-02,AXG,WILTSHIRE HEALTH & CARE,disappears,2220,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202402-RTT-February2024-incomplete-pathways.csv,
PE022,2024-03,2024-02,J3X4C,SPAMEDICA WORCESTER,appears,21,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202403-RTT-March2024-incomplete-pathways.csv,
PE023,2024-03,2024-02,NT445,EDGBASTON HOSPITAL,disappears,3,temporary_gap,not established from counts,caveat; preserve official monthly scope,202402-RTT-February2024-incomplete-pathways.csv,
PE024,2024-03,2024-02,RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,disappears,7668,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202402-RTT-February2024-incomplete-pathways.csv,
PE025,2024-03,2024-02,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,disappears,3603,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202402-RTT-February2024-incomplete-pathways.csv,
PE026,2024-03,2024-02,RY3,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,disappears,1828,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202402-RTT-February2024-incomplete-pathways.csv,
PE027,2024-03,2024-02,V8N5R,SPAMEDICA DALSTON,appears,41,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202403-RTT-March2024-incomplete-pathways.csv,
PE028,2024-04,2024-03,NQX01,PROVIDE WELLBEING @ TOLLGATE CLINIC,disappears,76,temporary_gap,not established from counts,caveat; preserve official monthly scope,202403-RTT-March2024-incomplete-pathways.csv,
PE029,2024-04,2024-03,R3I5E,NEWMEDICA -TELFORD,appears,6,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202404-RTT-April2024-incomplete-pathways.csv,
PE030,2024-04,2024-03,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,disappears,273,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202403-RTT-March2024-incomplete-pathways.csv,
PE031,2024-04,2024-03,RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,disappears,2089,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202403-RTT-March2024-incomplete-pathways.csv,
PE032,2024-05,2024-04,NQX01,PROVIDE WELLBEING @ TOLLGATE CLINIC,appears,128,reappearance_after_gap,not established from counts,caveat; preserve official monthly scope,202405-RTT-May2024-incomplete-pathways.csv,
PE033,2024-05,2024-04,NT445,EDGBASTON HOSPITAL,appears,1,reappearance_after_gap,not established from counts,caveat; preserve official monthly scope,202405-RTT-May2024-incomplete-pathways.csv,
PE034,2024-06,2024-05,8KL73,ENDOCARE DIAGNOSTICS,appears,70,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202406-RTT-June2024-incomplete-pathways.csv,
PE035,2024-06,2024-05,NPR01,ABOUT HEALTH HQ,appears,1611,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202406-RTT-June2024-incomplete-pathways.csv,
PE036,2024-06,2024-05,NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",disappears,503,temporary_gap,not established from counts,caveat; preserve official monthly scope,202405-RTT-May2024-incomplete-pathways.csv,
PE037,2024-06,2024-05,RKL,WEST LONDON NHS TRUST,disappears,2056,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202405-RTT-May2024-incomplete-pathways.csv,
PE038,2024-06,2024-05,T4I8V,SPAMEDICA CHESTERFIELD,appears,14,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202406-RTT-June2024-incomplete-pathways.csv,
PE039,2024-07,2024-06,F0R0W,NEWMEDICA - DARLINGTON,appears,18,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202407-RTT-July2024-incomplete-pathways.csv,
PE040,2024-07,2024-06,N8R1N,NEWMEDICA - BERKSHIRE,appears,55,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202407-RTT-July2024-incomplete-pathways.csv,
PE041,2024-07,2024-06,NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",appears,237,reappearance_after_gap,not established from counts,caveat; preserve official monthly scope,202407-RTT-July2024-incomplete-pathways.csv,
PE042,2024-07,2024-06,NT216,"NUFFIELD HEALTH, GUILDFORD HOSPITAL",appears,66,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202407-RTT-July2024-incomplete-pathways.csv,
PE043,2024-08,2024-07,A1U4J,SPAMEDICA PORTSMOUTH,appears,4,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202408-RTT-August2024-incomplete-pathways.csv,
PE044,2024-08,2024-07,G6S7A,SPAMEDICA TAUNTON,appears,111,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202408-RTT-August2024-incomplete-pathways.csv,
PE045,2024-09,2024-08,8KL73,ENDOCARE DIAGNOSTICS,disappears,51,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202408-RTT-August2024-incomplete-pathways.csv,
PE046,2024-09,2024-08,DJH01,THE ROYAL BUCKINGHAMSHIRE HOSPITAL LTD,appears,30,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202409-RTT-September2024-incomplete-pathways.csv,
PE047,2024-09,2024-08,K9J3O,SPAMEDICA LUTON,appears,101,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202409-RTT-September2024-incomplete-pathways.csv,
PE048,2024-09,2024-08,M9U8M,ENDOCARE DIAGNOSTICS LTD,appears,49,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202409-RTT-September2024-incomplete-pathways.csv,
PE049,2024-09,2024-08,NVL,DMC DERMATOLOGY,appears,145,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202409-RTT-September2024-incomplete-pathways.csv,
PE050,2024-09,2024-08,R1C,SOLENT NHS TRUST,disappears,253,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202408-RTT-August2024-incomplete-pathways.csv,
PE051,2024-09,2024-08,S3H9L,THE HAMPTONS HOSPITAL LTD,appears,922,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202409-RTT-September2024-incomplete-pathways.csv,
PE052,2024-09,2024-08,Z2L9B,NEWMEDICA - MANCHESTER WEST,appears,97,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202409-RTT-September2024-incomplete-pathways.csv,
PE053,2024-10,2024-09,H1T2P,SPAMEDICA SWINDON,appears,15,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202410-RTT-October2024-incomplete-pathways.csv,
PE054,2024-10,2024-09,I1H7K,SPAMEDICA SALE,appears,6,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202410-RTT-October2024-incomplete-pathways.csv,
PE055,2024-10,2024-09,NRL,HEART NETWORKS,appears,556,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202410-RTT-October2024-incomplete-pathways.csv,
PE056,2024-10,2024-09,NT310,SPIRE TUNBRIDGE WELLS HOSPITAL,disappears,467,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202409-RTT-September2024-incomplete-pathways.csv,
PE057,2024-11,2024-10,ADF01,NORTHWEST DIAGNOSTIC & TREATMENT SERVICES (MANOR HOUSE SURGERY),appears,54,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202411-RTT-November2024-incomplete-pathways.csv,
PE058,2024-11,2024-10,C9A7J,NEWMEDICA - BRADFORD & HUDDERSFIELD,appears,22,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202411-RTT-November2024-incomplete-pathways.csv,
PE059,2024-11,2024-10,G4H0I,NEWMEDICA SUFFOLK - BURY ST EDMUNDS - CLARITY HOUSE,appears,110,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202411-RTT-November2024-incomplete-pathways.csv,
PE060,2024-11,2024-10,H2K1G,NEWMEDICA - BROMSGROVE,appears,73,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202411-RTT-November2024-incomplete-pathways.csv,
PE061,2024-11,2024-10,NLG,COMMUNITAS CLINICS,appears,4297,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202411-RTT-November2024-incomplete-pathways.csv,
PE062,2024-11,2024-10,NQTH0,HCRG CARE EAST RIDING LLP,disappears,4491,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202410-RTT-October2024-incomplete-pathways.csv,
PE063,2024-11,2024-10,NRL,HEART NETWORKS,disappears,556,temporary_gap,not established from counts,caveat; preserve official monthly scope,202410-RTT-October2024-incomplete-pathways.csv,
PE064,2024-12,2024-11,AJX,SUSSEX MSK PARTNERSHIP 2,disappears,8594,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202411-RTT-November2024-incomplete-pathways.csv,
PE065,2024-12,2024-11,F1Y1H,NEWMEDICA - CHESHIRE OAKS,appears,38,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202412-RTT-December2024-incomplete-pathways.csv,
PE066,2024-12,2024-11,NNH,OPTEGRA UK,appears,4917,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202412-RTT-December2024-incomplete-pathways.csv,
PE067,2024-12,2024-11,NWX,HERE,disappears,12565,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202411-RTT-November2024-incomplete-pathways.csv,
PE068,2025-01,2024-12,C5Y9L,NEWMEDICA - BERKSHIRE - BRACKNELL,appears,1,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202501-RTT-January2025-incomplete-pathways.csv,
PE069,2025-01,2024-12,Q8X0X,SPAMEDICA ISLE OF WIGHT,appears,3,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202501-RTT-January2025-incomplete-pathways.csv,
PE070,2025-01,2024-12,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,disappears,1232,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202412-RTT-December2024-incomplete-pathways.csv,
PE071,2025-01,2024-12,R3I5E,NEWMEDICA -TELFORD,disappears,4,temporary_gap,not established from counts,caveat; preserve official monthly scope,202412-RTT-December2024-incomplete-pathways.csv,
PE072,2025-01,2024-12,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,disappears,29759,last_observed_exit,officially documented acquisition by Royal Free London on 1 January 2025,caveat; preserve official monthly scope,202412-RTT-December2024-incomplete-pathways.csv,https://www.england.nhs.uk/publication/royal-free-london-nhs-foundation-trust/
PE073,2025-01,2024-12,S5E5Y,HCRG CARE DERMATOLOGY THE IRONSTONE CENTRE,appears,4274,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202501-RTT-January2025-incomplete-pathways.csv,
PE074,2025-02,2025-01,M2Y6D,PRACTICE PLUS GROUP HOSPITAL BIRMINGHAM,appears,80,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202502-RTT-February2025-incomplete-pathways.csv,
PE075,2025-02,2025-01,NQT5K,ST MARTINS HOSPITAL,disappears,1005,temporary_gap,not established from counts,caveat; preserve official monthly scope,202501-RTT-January2025-incomplete-pathways.csv,
PE076,2025-02,2025-01,NYW17,ASPEN HEALTHCARE - MIDLAND EYE,disappears,800,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202501-RTT-January2025-incomplete-pathways.csv,
PE077,2025-02,2025-01,O6X7Z,SPAMEDICA CAMBRIDGE,appears,17,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202502-RTT-February2025-incomplete-pathways.csv,
PE078,2025-02,2025-01,R3I5E,NEWMEDICA -TELFORD,appears,3,reappearance_after_gap,not established from counts,caveat; preserve official monthly scope,202502-RTT-February2025-incomplete-pathways.csv,
PE079,2025-02,2025-01,S4E3I,MIDLAND EYE (EYE-DOCS LTD),appears,819,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202502-RTT-February2025-incomplete-pathways.csv,
PE080,2025-02,2025-01,S5E5Y,HCRG CARE DERMATOLOGY THE IRONSTONE CENTRE,disappears,4274,temporary_gap,not established from counts,caveat; preserve official monthly scope,202501-RTT-January2025-incomplete-pathways.csv,
PE081,2025-03,2025-02,ADF01,NORTHWEST DIAGNOSTIC & TREATMENT SERVICES (MANOR HOUSE SURGERY),disappears,17,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202502-RTT-February2025-incomplete-pathways.csv,
PE082,2025-03,2025-02,F7F6D,NEWMEDICA - HERTFORSHIRE - WELWYN GARDEN CITY,appears,36,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202503-RTT-March2025-incomplete-pathways.csv,
PE083,2025-03,2025-02,NRL,HEART NETWORKS,appears,631,reappearance_after_gap,not established from counts,caveat; preserve official monthly scope,202503-RTT-March2025-incomplete-pathways.csv,
PE084,2025-03,2025-02,NX5,ANGLIA COMMUNITY EYE SERVICE LTD,appears,1443,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202503-RTT-March2025-incomplete-pathways.csv,
PE085,2025-03,2025-02,RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,disappears,1987,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202502-RTT-February2025-incomplete-pathways.csv,
PE086,2025-03,2025-02,Z1E5F,NEWMEDICA - HARROGATE,appears,114,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202503-RTT-March2025-incomplete-pathways.csv,
PE087,2025-04,2025-03,A1D1B,SPAMEDICA WEMBLEY,appears,19,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202504-RTT-April2025-incomplete-pathways.csv,
PE088,2025-04,2025-03,DJH01,THE ROYAL BUCKINGHAMSHIRE HOSPITAL LTD,disappears,18,temporary_gap,not established from counts,caveat; preserve official monthly scope,202503-RTT-March2025-incomplete-pathways.csv,
PE089,2025-04,2025-03,J0M7P,SPAMEDICA HEREFORD DIAGNOSTIC AND TREATMENT CENTRE,appears,11,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202504-RTT-April2025-incomplete-pathways.csv,
PE090,2025-04,2025-03,NQX,PROVIDE ENTERPRISES,appears,54,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202504-RTT-April2025-incomplete-pathways.csv,
PE091,2025-04,2025-03,NQX01,PROVIDE WELLBEING @ TOLLGATE CLINIC,disappears,64,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202503-RTT-March2025-incomplete-pathways.csv,
PE092,2025-04,2025-03,NRF,UNIVERSITY OF SOUTHAMPTON AUDITORY IMPLANT SERVICE,appears,203,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202504-RTT-April2025-incomplete-pathways.csv,
PE093,2025-04,2025-03,NT244,NUFFIELD HOSPITAL OXFORD (THE MANOR),appears,65,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202504-RTT-April2025-incomplete-pathways.csv,
PE094,2025-04,2025-03,NVG01,FAIRFIELD HOSPITAL,disappears,1986,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202503-RTT-March2025-incomplete-pathways.csv,
PE095,2025-04,2025-03,Q2Y5H,OVIVA UK LTD,appears,4937,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202504-RTT-April2025-incomplete-pathways.csv,
PE096,2025-04,2025-03,Y9S1N,FAIRFIELD INDEPENDENT HOSPITAL,appears,2107,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202504-RTT-April2025-incomplete-pathways.csv,
PE097,2025-05,2025-04,DJH01,THE ROYAL BUCKINGHAMSHIRE HOSPITAL LTD,appears,14,reappearance_after_gap,not established from counts,caveat; preserve official monthly scope,202505-RTT-May2025-incomplete-pathways.csv,
PE098,2025-05,2025-04,N1N0Y,SPAMEDICA CROYDON,appears,20,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202505-RTT-May2025-incomplete-pathways.csv,
PE099,2025-05,2025-04,NT216,"NUFFIELD HEALTH, GUILDFORD HOSPITAL",disappears,486,temporary_gap,not established from counts,caveat; preserve official monthly scope,202504-RTT-April2025-incomplete-pathways.csv,
PE100,2025-05,2025-04,Q1S8W,NEWMEDICA - BURY ST EDMUNDS,disappears,1,temporary_gap,not established from counts,caveat; preserve official monthly scope,202504-RTT-April2025-incomplete-pathways.csv,
PE101,2025-05,2025-04,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,disappears,4,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202504-RTT-April2025-incomplete-pathways.csv,
PE102,2025-06,2025-05,DPK,THE STONEYGATE EYE HOSPITAL,appears,221,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202506-RTT-June2025-incomplete-pathways.csv,
PE103,2025-06,2025-05,NQT5K,ST MARTINS HOSPITAL,appears,135,reappearance_after_gap,not established from counts,caveat; preserve official monthly scope,202506-RTT-June2025-incomplete-pathways.csv,
PE104,2025-06,2025-05,S5E5Y,HCRG CARE DERMATOLOGY THE IRONSTONE CENTRE,appears,4534,reappearance_after_gap,not established from counts,caveat; preserve official monthly scope,202506-RTT-June2025-incomplete-pathways.csv,
PE105,2025-07,2025-06,AWR,ONE STOP DOCTORS LIMITED,appears,13,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202507-RTT-July2025-incomplete-pathways.csv,
PE106,2025-07,2025-06,NT216,"NUFFIELD HEALTH, GUILDFORD HOSPITAL",appears,481,reappearance_after_gap,not established from counts,caveat; preserve official monthly scope,202507-RTT-July2025-incomplete-pathways.csv,
PE107,2025-07,2025-06,Q1S8W,NEWMEDICA - BURY ST EDMUNDS,appears,1,reappearance_after_gap,not established from counts,caveat; preserve official monthly scope,202507-RTT-July2025-incomplete-pathways.csv,
PE108,2025-07,2025-06,R3I5E,NEWMEDICA -TELFORD,disappears,1,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202506-RTT-June2025-incomplete-pathways.csv,
PE109,2025-07,2025-06,R5J3Z,BORDER HEALTH ALLIANCE LIMITED,appears,449,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202507-RTT-July2025-incomplete-pathways.csv,
PE110,2025-07,2025-06,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,disappears,91256,last_observed_exit,officially documented non-reporting; estimates used in separate NHS dashboard,caveat; preserve official monthly scope,202506-RTT-June2025-incomplete-pathways.csv,https://data.england.nhs.uk/providers/acute-provider-table?info=true
PE111,2025-07,2025-06,V8A3H,SPAMEDICA SHEFFIELD COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,appears,1,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202507-RTT-July2025-incomplete-pathways.csv,
PE112,2025-08,2025-07,ADN,PRIMARY INTEGRATED COMMUNITY SERVICES LTD,disappears,2908,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202507-RTT-July2025-incomplete-pathways.csv,
PE113,2025-08,2025-07,D0V5X,NEWMEDICA - SWINDON MURDOCK ROAD,appears,53,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202508-RTT-August2025-incomplete-pathways.csv,
PE114,2025-08,2025-07,M6L9D,NEWMEDICA - NOTTINGHAM - KEYWORTH,appears,16,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202508-RTT-August2025-incomplete-pathways.csv,
PE115,2025-08,2025-07,U0K8N,CES MEDICAL,appears,32,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202508-RTT-August2025-incomplete-pathways.csv,
PE116,2025-09,2025-08,H4Y7F,SPAMEDICA DORCHESTER,appears,6,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202509-RTT-September2025-incomplete-pathways.csv,
PE117,2025-09,2025-08,NP9,BESPOKE HEALTHCARE LTD,appears,407,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202509-RTT-September2025-incomplete-pathways.csv,
PE118,2025-09,2025-08,Q1S8W,NEWMEDICA - BURY ST EDMUNDS,disappears,2,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202508-RTT-August2025-incomplete-pathways.csv,
PE119,2025-09,2025-08,V8A3H,SPAMEDICA SHEFFIELD COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,disappears,2,temporary_gap,not established from counts,caveat; preserve official monthly scope,202508-RTT-August2025-incomplete-pathways.csv,
PE120,2025-10,2025-09,AVQ03,ONE HATFIELD HOSPITAL,appears,990,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202510-RTT-October2025-incomplete-pathways.csv,
PE121,2025-10,2025-09,NHW,STANDARD HEALTH LTD,appears,118,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202510-RTT-October2025-incomplete-pathways.csv,
PE122,2025-10,2025-09,NVL,DMC DERMATOLOGY,disappears,238,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202509-RTT-September2025-incomplete-pathways.csv,
PE123,2025-10,2025-09,V3J9W,PASTEL HEALTH,appears,16,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202510-RTT-October2025-incomplete-pathways.csv,
PE124,2025-11,2025-10,A4Y8X,ACES NOTTINGHAM,appears,1,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE125,2025-11,2025-10,A9P5F,ACES WHITE CITY,appears,9,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE126,2025-11,2025-10,AVQ01,ONE ASHFORD HOSPITAL,appears,1076,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE127,2025-11,2025-10,D2L5T,ACES LIVERPOOL,appears,18,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE128,2025-11,2025-10,F7B2B,ANGLIA COMMUNITY EYE SERVICE - BURY ST EDMUNDS,appears,2,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE129,2025-11,2025-10,H3W7Q,ACES CHELMSFORD,appears,8,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE130,2025-11,2025-10,H7X1I,ANGLIA COMMUNITY EYE SERVICE - CAMBRIDGE,appears,17,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE131,2025-11,2025-10,I7G8X,ACES NEWCASTLE,appears,7,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE132,2025-11,2025-10,N1M9Z,ACES EXETER,appears,5,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE133,2025-11,2025-10,NX5,ANGLIA COMMUNITY EYE SERVICE LTD,disappears,2055,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202510-RTT-October2025-incomplete-pathways.csv,
PE134,2025-11,2025-10,NX501,ANGLIA COMMUNITY EYE SERVICE LTD,appears,1562,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE135,2025-11,2025-10,NX504,ANGLIA COMMUNITY EYE SERVICES FAKENHAM,appears,14,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE136,2025-11,2025-10,NX507,ANGLIA COMMUNITY EYE SERVICE - THETFORD HEALTHY LIVING CENTRE,appears,13,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE137,2025-11,2025-10,O9Q4E,ANGLIA COMMUNITY EYE SERVICE - PETERBOROUGH,appears,50,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
