specialty_code,specialty,floor,from_period,to_period,n_in_both,n_only_from,n_only_to,spearman,panel
C_110,Trauma and Orthopaedics,500,2024-11,2024-12,191,0,0,0.9874379994488839,balanced
C_110,Trauma and Orthopaedics,500,2024-12,2025-01,191,0,0,0.981222444199504,balanced
C_110,Trauma and Orthopaedics,500,2025-01,2025-02,191,0,0,0.9861273766877927,balanced
C_110,Trauma and Orthopaedics,500,2025-02,2025-03,191,0,0,0.9772264127629096,balanced
C_110,Trauma and Orthopaedics,500,2025-03,2025-04,191,0,0,0.9854242669401345,balanced
C_110,Trauma and Orthopaedics,500,2025-04,2025-05,191,0,0,0.9878513364563241,balanced
C_110,Trauma and Orthopaedics,500,2025-05,2025-06,191,0,0,0.9851026453568476,balanced
C_110,Trauma and Orthopaedics,500,2025-06,2025-07,191,0,0,0.9837657514836917,balanced
C_110,Trauma and Orthopaedics,500,2025-07,2025-08,191,0,0,0.9883262384293413,balanced
C_110,Trauma and Orthopaedics,500,2025-08,2025-09,191,0,0,0.9843517497933315,balanced
C_110,Trauma and Orthopaedics,500,2025-09,2025-10,191,0,0,0.9845274180214935,balanced
C_110,Trauma and Orthopaedics,500,2025-10,2025-11,191,0,0,0.9845773629098925,balanced
C_110,Trauma and Orthopaedics,500,2025-11,2025-12,191,0,0,0.9866216588591898,balanced
C_110,Trauma and Orthopaedics,500,2025-12,2026-01,191,0,0,0.975263502342243,balanced
C_110,Trauma and Orthopaedics,500,2026-01,2026-02,191,0,0,0.9795604849820886,balanced
C_110,Trauma and Orthopaedics,500,2026-02,2026-03,191,0,0,0.9608518186828326,balanced
C_110,Trauma and Orthopaedics,500,2026-03,2026-04,191,0,0,0.969931454946266,balanced
C_110,Trauma and Orthopaedics,500,2026-04,2026-05,191,0,0,0.9797929870487738,balanced
C_301,Gastroenterology,1000,2024-01,2024-02,92,0,0,0.9799485227255214,balanced
C_301,Gastroenterology,1000,2024-02,2024-03,92,0,0,0.977266772498189,balanced
C_301,Gastroenterology,1000,2024-03,2024-04,92,0,0,0.9795015643542994,balanced
C_301,Gastroenterology,1000,2024-04,2024-05,92,0,0,0.9772513601405606,balanced
C_301,Gastroenterology,1000,2024-05,2024-06,92,0,0,0.9619468890156126,balanced
C_301,Gastroenterology,1000,2024-06,2024-07,92,0,0,0.9686975016568284,balanced
C_301,Gastroenterology,1000,2024-07,2024-08,92,0,0,0.9619314766579844,balanced
C_301,Gastroenterology,1000,2024-08,2024-09,92,0,0,0.9786538846847401,balanced
C_301,Gastroenterology,1000,2024-09,2024-10,92,0,0,0.9721652821232063,balanced
C_301,Gastroenterology,1000,2024-10,2024-11,92,0,0,0.9756792996624694,balanced
C_301,Gastroenterology,1000,2024-11,2024-12,92,0,0,0.9754018772251591,balanced
C_301,Gastroenterology,1000,2024-12,2025-01,92,0,0,0.9732595595148189,balanced
C_301,Gastroenterology,1000,2025-01,2025-02,92,0,0,0.9796711002882109,balanced
C_301,Gastroenterology,1000,2025-02,2025-03,92,0,0,0.9826610976681103,balanced
C_301,Gastroenterology,1000,2025-03,2025-04,92,0,0,0.9685125533652882,balanced
C_301,Gastroenterology,1000,2025-04,2025-05,92,0,0,0.9691290476704221,balanced
C_301,Gastroenterology,1000,2025-05,2025-06,92,0,0,0.9588952422052001,balanced
C_301,Gastroenterology,1000,2025-06,2025-07,92,0,0,0.9823220258002867,balanced
C_301,Gastroenterology,1000,2025-07,2025-08,92,0,0,0.9678035849143842,balanced
C_301,Gastroenterology,1000,2025-08,2025-09,92,0,0,0.9854199096835843,balanced
C_301,Gastroenterology,1000,2025-09,2025-10,92,0,0,0.976650278193055,balanced
C_301,Gastroenterology,1000,2025-10,2025-11,92,0,0,0.9831080560393324,balanced
C_301,Gastroenterology,1000,2025-11,2025-12,92,0,0,0.9780065656643495,balanced
C_301,Gastroenterology,1000,2025-12,2026-01,92,0,0,0.983847849205493,balanced
C_301,Gastroenterology,1000,2026-01,2026-02,92,0,0,0.9706086340027433,balanced
C_301,Gastroenterology,1000,2026-02,2026-03,92,0,0,0.9184223910731624,balanced
C_301,Gastroenterology,1000,2026-03,2026-04,92,0,0,0.9661236379328947,balanced
C_301,Gastroenterology,1000,2026-04,2026-05,92,0,0,0.9805650170306551,balanced
C_130,Ophthalmology,1000,2024-01,2024-02,103,0,0,0.9863594429556738,balanced
C_130,Ophthalmology,1000,2024-02,2024-03,103,0,0,0.9798576637525809,balanced
C_130,Ophthalmology,1000,2024-03,2024-04,103,0,0,0.9843496024249879,balanced
C_130,Ophthalmology,1000,2024-04,2024-05,103,0,0,0.9855467205552871,balanced
C_130,Ophthalmology,1000,2024-05,2024-06,103,0,0,0.9817686596670036,balanced
C_130,Ophthalmology,1000,2024-06,2024-07,103,0,0,0.9771778763783333,balanced
C_130,Ophthalmology,1000,2024-07,2024-08,103,0,0,0.9797148881957563,balanced
C_130,Ophthalmology,1000,2024-08,2024-09,103,0,0,0.9784079427140536,balanced
C_130,Ophthalmology,1000,2024-09,2024-10,103,0,0,0.9782651671572289,balanced
C_130,Ophthalmology,1000,2024-10,2024-11,103,0,0,0.9739819004524887,balanced
C_130,Ophthalmology,1000,2024-11,2024-12,103,0,0,0.9722685937705926,balanced
C_130,Ophthalmology,1000,2024-12,2025-01,103,0,0,0.9642841453235514,balanced
C_130,Ophthalmology,1000,2025-01,2025-02,103,0,0,0.9806264552124061,balanced
C_130,Ophthalmology,1000,2025-02,2025-03,103,0,0,0.9874247682642885,balanced
C_130,Ophthalmology,1000,2025-03,2025-04,103,0,0,0.9803409040987567,balanced
C_130,Ophthalmology,1000,2025-04,2025-05,103,0,0,0.974970346615121,balanced
C_130,Ophthalmology,1000,2025-05,2025-06,103,0,0,0.9809120063260555,balanced
C_130,Ophthalmology,1000,2025-06,2025-07,103,0,0,0.9760466546588763,balanced
C_130,Ophthalmology,1000,2025-07,2025-08,103,0,0,0.9782102534815271,balanced
C_130,Ophthalmology,1000,2025-08,2025-09,103,0,0,0.9656569872160964,balanced
C_130,Ophthalmology,1000,2025-09,2025-10,103,0,0,0.980868075385494,balanced
C_130,Ophthalmology,1000,2025-10,2025-11,103,0,0,0.9767275842375785,balanced
C_130,Ophthalmology,1000,2025-11,2025-12,103,0,0,0.9802640249527743,balanced
C_130,Ophthalmology,1000,2025-12,2026-01,103,0,0,0.9724113693274173,balanced
C_130,Ophthalmology,1000,2026-01,2026-02,103,0,0,0.9717633879541363,balanced
C_130,Ophthalmology,1000,2026-02,2026-03,103,0,0,0.9588476914290734,balanced
C_130,Ophthalmology,1000,2026-03,2026-04,103,0,0,0.9871501998857796,balanced
C_130,Ophthalmology,1000,2026-04,2026-05,103,0,0,0.988534024513465,balanced
C_120,"Ear, Nose and Throat",1000,2024-01,2024-02,108,0,0,0.9804986329036743,balanced
C_120,"Ear, Nose and Throat",1000,2024-02,2024-03,108,0,0,0.9835567368792095,balanced
C_120,"Ear, Nose and Throat",1000,2024-03,2024-04,108,0,0,0.9719054560004572,balanced
C_120,"Ear, Nose and Throat",1000,2024-04,2024-05,108,0,0,0.9793744700715463,balanced
C_120,"Ear, Nose and Throat",1000,2024-05,2024-06,108,0,0,0.9833852544132916,balanced
C_120,"Ear, Nose and Throat",1000,2024-06,2024-07,108,0,0,0.9766498042241847,balanced
C_120,"Ear, Nose and Throat",1000,2024-07,2024-08,108,0,0,0.9658273552640353,balanced
C_120,"Ear, Nose and Throat",1000,2024-08,2024-09,108,0,0,0.9748682919393714,balanced
C_120,"Ear, Nose and Throat",1000,2024-09,2024-10,108,0,0,0.9854811512189544,balanced
C_120,"Ear, Nose and Throat",1000,2024-10,2024-11,108,0,0,0.9712481065477722,balanced
C_120,"Ear, Nose and Throat",1000,2024-11,2024-12,108,0,0,0.9792220412129526,balanced
C_120,"Ear, Nose and Throat",1000,2024-12,2025-01,108,0,0,0.9811274019453733,balanced
C_120,"Ear, Nose and Throat",1000,2025-01,2025-02,108,0,0,0.9814132060552364,balanced
C_120,"Ear, Nose and Throat",1000,2025-02,2025-03,108,0,0,0.9802033019901492,balanced
C_120,"Ear, Nose and Throat",1000,2025-03,2025-04,108,0,0,0.9822420379738392,balanced
C_120,"Ear, Nose and Throat",1000,2025-04,2025-05,108,0,0,0.9743252641306314,balanced
C_120,"Ear, Nose and Throat",1000,2025-05,2025-06,108,0,0,0.9630169481837147,balanced
C_120,"Ear, Nose and Throat",1000,2025-06,2025-07,108,0,0,0.965427229510227,balanced
C_120,"Ear, Nose and Throat",1000,2025-07,2025-08,108,0,0,0.9824039936360952,balanced
C_120,"Ear, Nose and Throat",1000,2025-08,2025-09,108,0,0,0.9597397277239513,balanced
C_120,"Ear, Nose and Throat",1000,2025-09,2025-10,108,0,0,0.9636838244400621,balanced
C_120,"Ear, Nose and Throat",1000,2025-10,2025-11,108,0,0,0.9608638905560796,balanced
C_120,"Ear, Nose and Throat",1000,2025-11,2025-12,108,0,0,0.9389427153295797,balanced
C_120,"Ear, Nose and Throat",1000,2025-12,2026-01,108,0,0,0.9641030038011946,balanced
C_120,"Ear, Nose and Throat",1000,2026-01,2026-02,108,0,0,0.950956014747492,balanced
C_120,"Ear, Nose and Throat",1000,2026-02,2026-03,108,0,0,0.9049701334705192,balanced
C_120,"Ear, Nose and Throat",1000,2026-03,2026-04,108,0,0,0.971162365314813,balanced
C_120,"Ear, Nose and Throat",1000,2026-04,2026-05,108,0,0,0.9651128449893775,balanced
C_110,Trauma and Orthopaedics,1000,2024-01,2024-02,150,0,0,0.9859442641895195,balanced
C_110,Trauma and Orthopaedics,1000,2024-02,2024-03,150,0,0,0.9885363793946398,balanced
C_110,Trauma and Orthopaedics,1000,2024-03,2024-04,150,0,0,0.9855602471220943,balanced
C_110,Trauma and Orthopaedics,1000,2024-04,2024-05,150,0,0,0.9904529090181786,balanced
C_110,Trauma and Orthopaedics,1000,2024-05,2024-06,150,0,0,0.9897951020045336,balanced
C_110,Trauma and Orthopaedics,1000,2024-06,2024-07,150,0,0,0.9896386506066936,balanced
C_110,Trauma and Orthopaedics,1000,2024-07,2024-08,150,0,0,0.978406151384506,balanced
C_110,Trauma and Orthopaedics,1000,2024-08,2024-09,150,0,0,0.9865309569314192,balanced
C_110,Trauma and Orthopaedics,1000,2024-09,2024-10,150,0,0,0.9847104315747367,balanced
C_110,Trauma and Orthopaedics,1000,2024-10,2024-11,150,0,0,0.9844793101915641,balanced
C_110,Trauma and Orthopaedics,1000,2024-11,2024-12,150,0,0,0.9843584159295969,balanced
C_110,Trauma and Orthopaedics,1000,2024-12,2025-01,150,0,0,0.9779865771812082,balanced
C_110,Trauma and Orthopaedics,1000,2025-01,2025-02,150,0,0,0.985147784345971,balanced
C_110,Trauma and Orthopaedics,1000,2025-02,2025-03,150,0,0,0.9780221343170807,balanced
C_110,Trauma and Orthopaedics,1000,2025-03,2025-04,150,0,0,0.9864313969509757,balanced
C_110,Trauma and Orthopaedics,1000,2025-04,2025-05,150,0,0,0.9879781323614383,balanced
C_110,Trauma and Orthopaedics,1000,2025-05,2025-06,150,0,0,0.9817983021467622,balanced
C_110,Trauma and Orthopaedics,1000,2025-06,2025-07,150,0,0,0.98698608827059,balanced
C_110,Trauma and Orthopaedics,1000,2025-07,2025-08,150,0,0,0.9876581181385841,balanced
C_110,Trauma and Orthopaedics,1000,2025-08,2025-09,150,0,0,0.9819689763989511,balanced
C_110,Trauma and Orthopaedics,1000,2025-09,2025-10,150,0,0,0.9865736254944665,balanced
C_110,Trauma and Orthopaedics,1000,2025-10,2025-11,150,0,0,0.9844188630605805,balanced
C_110,Trauma and Orthopaedics,1000,2025-11,2025-12,150,0,0,0.9849095515356239,balanced
C_110,Trauma and Orthopaedics,1000,2025-12,2026-01,150,0,0,0.9776345615360682,balanced
C_110,Trauma and Orthopaedics,1000,2026-01,2026-02,150,0,0,0.9770123116582959,balanced
C_110,Trauma and Orthopaedics,1000,2026-02,2026-03,150,0,0,0.9672483221476511,balanced
C_110,Trauma and Orthopaedics,1000,2026-03,2026-04,150,0,0,0.9747544335303792,balanced
C_110,Trauma and Orthopaedics,1000,2026-04,2026-05,150,0,0,0.9842908573714386,balanced
